Geo Point;Geo Shape;FID;OBJECTID;NCESID;Name;Address;Address 2;City;State;ZIP;ZIP4;Telephone;Type;Status;Population;County;County+State FIPS;Country;NAICS Code;Description;Source;Date Added;Evaluation Method;Date Evaluated;Website;Level;Enrollment;ST_GRADE;End Grade;District ID;FT Teacher;Shelter ID
44.580781231,-72.29398758;"{""type"": ""Point"", ""coordinates"": [-72.2939875799999, 44.58078123100004]}";90979;91373;500000300461;LAKEVIEW USD #43;189 LAUREDON AVE;;GREENSBORO;VT;05841;;(802) 533-7066;1;1;89;ORLEANS;50019;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500000300461;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500000300461;PRIMARY;83;PK;06;5000003;6;
43.538024115,-72.394123459;"{""type"": ""Point"", ""coordinates"": [-72.39412345899994, 43.53802411500002]}";400;1599;500462000155;HARTLAND ELEMENTARY SCHOOL;97 MARTINSVILLE RD;;HARTLAND;VT;05048;;(802) 436-2255;1;1;323;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500462000155;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500462000155;PRIMARY;298;PK;08;5004620;25;
43.858215337,-73.201458357;"{""type"": ""Point"", ""coordinates"": [-73.20145835699996, 43.85821533700002]}";53364;52958;500912000377;WHITING VILLAGE SCHOOL;87 SOUTH MAIN ST;;WHITING;VT;05778;4019;(802) 623-7991;1;1;43;ADDISON;50001;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500912000377;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500912000377;PRIMARY;39;PK;06;5009120;4;
42.771921214,-72.940513733;"{""type"": ""Point"", ""coordinates"": [-72.94051373299997, 42.77192121400002]}";39953;39953;500678000254;READSBORO ELEMENTARY SCHOOL;301 PHELPS LN;;READSBORO;VT;05350;9708;(802) 423-7786;1;1;69;BENNINGTON;50003;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500678000254;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500678000254;PRIMARY;62;PK;08;5006780;7;10787043
43.653476475,-72.528850023;"{""type"": ""Point"", ""coordinates"": [-72.52885002299995, 43.653476475000026]}";6798;7991;500657000442;POMFRET SCHOOL;1071 POMFRET RD;;SOUTH POMFRET;VT;05067;0130;(802) 457-2067;1;1;70;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500657000442;2010-01-29T00:00:00.000Z;IMAGERY;2010-06-10T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500657000442;PRIMARY;63;PK;06;5006570;7;10819787
42.938870462,-72.81003323;"{""type"": ""Point"", ""coordinates"": [-72.81003322999996, 42.93887046200006]}";53355;52949;500354000105;DOVER ELEMENTARY SCHOOL;9 SCHOOLHOUSE RD;;EAST DOVER;VT;05341;7701;(802) 464-5386;1;1;103;WINDHAM;50025;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500354000105;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500354000105;PRIMARY;96;PK;06;5003540;7;
43.563280218,-72.967940205;"{""type"": ""Point"", ""coordinates"": [-72.9679402049999, 43.56328021800003]}";6788;7981;500321000086;CLARENDON ELEMENTARY SCHOOL;84 GRANGE HALL RD;;NORTH CLARENDON;VT;05759;0007;(802) 775-5379;1;1;209;RUTLAND;50021;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500321000086;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500321000086;PRIMARY;189;PK;06;5003210;20;
44.454968399,-73.177930271;"{""type"": ""Point"", ""coordinates"": [-73.17793027099997, 44.45496839900002]}";14909;14504;500747000294;SOUTH BURLINGTON HIGH SCHOOL;550 DORSET ST;;SOUTH BURLINGTON;VT;05403;6296;(802) 652-7000;1;1;921;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500747000294;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500747000294;HIGH;850;09;12;5007470;71;
44.805417393,-72.448818801;"{""type"": ""Point"", ""coordinates"": [-72.44881880099993, 44.805417393]}";20977;20972;500522000175;LOWELL VILLAGE SCHOOL;52 GELO PARK RD;;LOWELL;VT;05847;9714;(802) 744-6641;1;1;130;ORLEANS;50019;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500522000175;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500522000175;PRIMARY;118;PK;08;5005220;12;10793228
44.214455762,-72.571757721;"{""type"": ""Point"", ""coordinates"": [-72.57175772099997, 44.21445576200004]}";39930;39930;500222000035;BERLIN ELEMENTARY SCHOOL;372 PAINE TURNPIKE;;BERLIN;VT;05602;8926;(802) 223-2796;1;1;232;WASHINGTON;50023;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500222000035;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500222000035;PRIMARY;213;PK;06;5002220;19;
43.612573601,-72.991339724;"{""type"": ""Point"", ""coordinates"": [-72.99133972399993, 43.61257360100006]}";79342;78538;500705000275;RUTLAND NORTHWEST SCHOOL;80 PIERPOINT AVE;;RUTLAND;VT;05701;;(802) 773-1946;1;1;282;RUTLAND;50021;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500705000275;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500705000275;PRIMARY;257;PK;02;5007050;25;
44.6868367,-71.952335899;"{""type"": ""Point"", ""coordinates"": [-71.95233589899992, 44.68683670000005]}";53356;52950;500591000212;NEWARK SCHOOL;1448 NEWARK ST;;NEWARK;VT;05871;;(802) 467-3401;1;1;63;CALEDONIA;50005;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500591000212;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500591000212;PRIMARY;57;PK;08;5005910;6;
44.538218934,-72.45311489;"{""type"": ""Point"", ""coordinates"": [-72.45311488999992, 44.53821893400004]}";1604;1604;500939000391;WOLCOTT ELEMENTARY SCHOOL;320 SCHOOL HILL DR;;WOLCOTT;VT;05680;;(802) 472-6551;1;1;162;LAMOILLE;50015;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500939000391;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500939000391;PRIMARY;151;PK;06;5009390;11;10813893
43.07038,-72.46372;"{""type"": ""Point"", ""coordinates"": [-72.46372, 43.07038]}";20986;20981;500897000460;WESTMINSTER SCHOOLS;301 SCHOOL ST;;WESTMINSTER;VT;05158;;(802) 722-3241;1;1;247;WINDHAM;50025;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500897000460;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500897000460;PRIMARY;225;PK;06;5008970;22;10800819
43.833429574,-72.643706623;"{""type"": ""Point"", ""coordinates"": [-72.64370662299994, 43.83342957400003]}";6782;7975;500225000037;WHITCOMB JUNIOR/SENIOR HIGH SCHOOL;273 PLEASANT ST;;BETHEL;VT;05032;9700;(802) 234-9966;1;1;142;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500225000037;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500225000037;HIGH;129;07;12;5002250;13;10812506
43.622034056,-72.519761543;"{""type"": ""Point"", ""coordinates"": [-72.51976154299994, 43.622034056000054]}";33510;33508;500948000394;WOODSTOCK ELEMENTARY SCHOOL;15 SOUTH ST;;WOODSTOCK;VT;05091;1211;(802) 457-2522;1;1;191;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500948000394;2009-12-10T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500948000394;PRIMARY;173;PK;06;5009480;18;10812462
44.508753231,-72.365156366;"{""type"": ""Point"", ""coordinates"": [-72.36515636599992, 44.50875323100006]}";20984;20979;500824300343;HAZEN UHSD # 26;126 HAZEN UNION DR;;HARDWICK;VT;05843;;(802) 472-6511;1;1;396;CALEDONIA;50005;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500824300343;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500824300343;HIGH;367;07;12;5008243;29;
43.586927456,-72.620634527;"{""type"": ""Point"", ""coordinates"": [-72.62063452699992, 43.58692745600006]}";26017;27212;500258000053;BRIDGEWATER VILLAGE SCHOOL;7313 ROUTE 4 WEST;;BRIDGEWATER;VT;05034;;(802) 672-3464;1;1;44;WINDSOR;50027;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500258000053;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500258000053;PRIMARY;38;PK;06;5002580;6;10812470
44.782633836,-72.22022496;"{""type"": ""Point"", ""coordinates"": [-72.22022495999992, 44.78263383600005]}";97029;97826;500505000170;LAKE REGION UHSD #24;317 LAKE REGION RD;;ORLEANS;VT;05860;9604;(802) 754-6521;1;1;376;ORLEANS;50019;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500505000170;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500505000170;HIGH;346;09;12;5005050;30;
44.488371928,-73.213807124;"{""type"": ""Point"", ""coordinates"": [-73.21380712399996, 44.48837192800003]}";53354;52948;500282000073;INTEGRATED ARTS ACADEMY AT H. O. WHEELER;6 ARCHIBALD ST;;BURLINGTON;VT;05401;4220;(802) 864-8475;1;1;326;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500282000073;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500282000073;PRIMARY;298;PK;05;5002820;28;10781867
44.32111157,-72.752843108;"{""type"": ""Point"", ""coordinates"": [-72.75284310799996, 44.321111570000014]}";72967;72156;500000800146;CROSSETT BROOK MIDDLE SCHOOL USD #45;5672 VT ROUTE 100;;DUXBURY;VT;05676;;(802) 244-6100;1;1;293;WASHINGTON;50023;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500000800146;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500000800146;MIDDLE;264;05;08;5000008;29;
44.850891144,-73.26350109;"{""type"": ""Point"", ""coordinates"": [-73.26350108999996, 44.850891144000045]}";90994;91388;500609000221;NORTH HERO ELEMENTARY SCHOOL;6441 U.S. ROUTE 2;;NORTH HERO;VT;05474;9412;(802) 372-8866;1;1;59;GRAND ISLE;50013;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500609000221;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500609000221;PRIMARY;53;PK;06;5006090;6;10793237
44.499157319,-73.058739551;"{""type"": ""Point"", ""coordinates"": [-73.05873955099996, 44.49915731900005]}";65011;65801;500384000121;ESSEX MIDDLE SCHOOL;60 FOUNDERS RD;;ESSEX JUNCTION;VT;05452;3366;(802) 879-7173;1;1;447;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500384000121;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500384000121;MIDDLE;413;06;08;5003840;34;
44.168052749,-72.485399376;"{""type"": ""Point"", ""coordinates"": [-72.48539937599996, 44.168052749]}";84232;85032;500204000024;BARRE TOWN ELEMENTARY SCHOOL;70 WEBSTERVILLE RD;;BARRE;VT;05641;9029;(802) 476-6617;1;1;934;WASHINGTON;50023;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500204000024;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-26T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500204000024;PRIMARY;856;PK;08;5002040;78;
44.326028045,-72.166493101;"{""type"": ""Point"", ""coordinates"": [-72.16649310099993, 44.32602804500003]}";14906;14501;500639000237;PEACHAM ELEMENTARY SCHOOL;340 BAILEY HAZEN RD;;PEACHAM;VT;05862;0271;(802) 592-3513;1;1;54;CALEDONIA;50005;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500639000237;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500639000237;PRIMARY;49;PK;06;5006390;5;10792430
43.165773946,-72.725290696;"{""type"": ""Point"", ""coordinates"": [-72.72529069599993, 43.16577394600005]}";39961;39961;500927000384;WINDHAM ELEMENTARY SCHOOL;5940 WINDHAM HILL RD;;WINDHAM;VT;05359;9507;(802) 874-4159;1;1;19;WINDHAM;50025;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500927000384;2010-01-29T00:00:00.000Z;IMAGERY;2010-08-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500927000384;PRIMARY;17;PK;06;5009270;2;
44.624871883,-73.119582704;"{""type"": ""Point"", ""coordinates"": [-73.11958270399997, 44.62487188300002]}";72976;72165;500561000193;MILTON MIDDLE SCHOOL;17 REBECCA LANDER DR;;MILTON;VT;05468;3037;(802) 893-3230;1;1;376;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500561000193;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500561000193;MIDDLE;351;06;08;5005610;25;
44.006781123,-73.163426022;"{""type"": ""Point"", ""coordinates"": [-73.16342602199992, 44.006781123000046]}";97030;97827;500552000189;MIDDLEBURY SENIOR UHSD #3;73 CHARLES AVE;;MIDDLEBURY;VT;05753;;(802) 382-1500;1;1;636;ADDISON;50001;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500552000189;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-24T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500552000189;HIGH;585;09;12;5005520;51;10792451
43.930947069,-72.659700444;"{""type"": ""Point"", ""coordinates"": [-72.65970044399994, 43.93094706900006]}";79334;78530;500240000042;RANDOLPH UHSD #2;15 FOREST ST;;RANDOLPH;VT;05060;1006;(802) 728-3397;1;1;502;ORANGE;50017;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500240000042;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500240000042;HIGH;445;07;12;5002400;57;10819783
44.563871544,-72.585299377;"{""type"": ""Point"", ""coordinates"": [-72.58529937699993, 44.56387154400003]}";65013;65803;500579000438;MORRISTOWN ELEMENTARY SCHOOL;548 PARK ST;;MORRISVILLE;VT;05661;9768;(802) 888-3101;1;1;389;LAMOILLE;50015;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500579000438;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500579000438;PRIMARY;366;PK;04;5005790;23;10793232
44.501241195,-73.176672815;"{""type"": ""Point"", ""coordinates"": [-73.17667281499995, 44.50124119500001]}";84246;85046;500936000183;WINOOSKI MIDDLE SCHOOL;80 NORMAND ST;;WINOOSKI;VT;05404;1392;(802) 655-3530;1;1;172;CHITTENDEN;50007;USA;611110;ELEMENTARY AND SECONDARY SCHOOLS;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500936000183;2009-10-13T00:00:00.000Z;IMAGERY/OTHER;2016-10-25T00:00:00.000Z;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=500936000183;MIDDLE;153;06;08;5009360;19;10793236
